Test Case ID,CaseCounter,TimeDifference,TotalMemory,FreeMemory
SList 10000 insert,303,302100,8474939392,1644875776,
SList 10000 insert,304,303000,8474939392,1644875776,
SList 10000 insert,305,303900,8474939392,1644875776,
SList 10000 insert,306,304700,8474939392,1644875776,
SList 10000 insert,307,305600,8474939392,1644875776,
SList 10000 insert,308,306500,8474939392,1644875776,
SList 10000 insert,309,307400,8474939392,1644875776,
SList 10000 insert,310,308200,8474939392,1644875776,
SList 10000 insert,311,309100,8474939392,1644875776,
SList 10000 insert,312,310000,8474939392,1644875776,
SList 10000 insert,313,310900,8474939392,1644879872,
SList 10000 insert,314,311700,8474939392,1644892160,
SList 10000 insert,315,312600,8474939392,1644879872,
SList 10000 insert,316,313700,8474939392,1644859392,
SList 10000 insert,317,314600,8474939392,1644847104,
SList 10000 insert,318,315400,8474939392,1644847104,
SList 10000 insert,319,316300,8474939392,1644847104,
SList 10000 insert,320,317200,8474939392,1644847104,
SList 10000 insert,321,318100,8474939392,1644847104,
SList 10000 insert,322,318900,8474939392,1644847104,
SList 10000 insert,323,319800,8474939392,1644847104,
SList 10000 insert,324,320700,8474939392,1644847104,
SList 10000 insert,325,321600,8474939392,1644847104,
SList 10000 insert,326,322400,8474939392,1644847104,
SList 10000 insert,327,323300,8474939392,1644847104,
SList 10000 insert,328,324200,8474939392,1644847104,
SList 10000 insert,329,325200,8474939392,1644847104,
SList 10000 insert,330,326100,8474939392,1644847104,
SList 10000 insert,331,327000,8474939392,1644847104,
SList 10000 insert,332,327800,8474939392,1644847104,
SList 10000 insert,333,328700,8474939392,1644847104,
SList 10000 insert,334,329600,8474939392,1644847104,
SList 10000 insert,335,330400,8474939392,1644847104,
SList 10000 insert,336,331300,8474939392,1644847104,
SList 10000 insert,337,332200,8474939392,1644847104,
SList 10000 insert,338,333100,8474939392,1644847104,
SList 10000 insert,339,333900,8474939392,1644847104,
SList 10000 insert,340,334800,8474939392,1644847104,
SList 10000 insert,341,335700,8474939392,1644847104,
SList 10000 insert,342,336700,8474939392,1644847104,
SList 10000 insert,343,337600,8474939392,1644847104,
SList 10000 insert,344,338400,8474939392,1644847104,
SList 10000 insert,345,339300,8474939392,1644847104,
SList 10000 insert,346,340200,8474939392,1644847104,
SList 10000 insert,347,341000,8474939392,1644847104,
SList 10000 insert,348,341900,8474939392,1644847104,
SList 10000 insert,349,342800,8474939392,1644859392,
SList 10000 insert,350,343700,8474939392,1644859392,
SList 10000 insert,351,344700,8474939392,1644859392,
SList 10000 insert,352,345600,8474939392,1644859392,
SList 10000 insert,353,346500,8474939392,1644859392,
SList 10000 insert,354,347400,8474939392,1644888064,
SList 10000 insert,355,348200,8474939392,1644871680,
SList 10000 insert,356,349100,8474939392,1644859392,
SList 10000 insert,357,350000,8474939392,1644847104,
SList 10000 insert,358,350900,8474939392,1644847104,
SList 10000 insert,359,351800,8474939392,1644847104,
SList 10000 insert,360,352700,8474939392,1644847104,
SList 10000 insert,361,353500,8474939392,1644847104,
SList 10000 insert,362,354400,8474939392,1644847104,
SList 10000 insert,363,355300,8474939392,1644847104,
SList 10000 insert,364,357000,8474939392,1644847104,
SList 10000 insert,365,357900,8474939392,1644847104,
SList 10000 insert,366,358800,8474939392,1644847104,
SList 10000 insert,367,359600,8474939392,1644847104,
SList 10000 insert,368,360500,8474939392,1644847104,
SList 10000 insert,369,361400,8474939392,1644847104,
SList 10000 insert,370,362300,8474939392,1644847104,
SList 10000 insert,371,363100,8474939392,1644847104,
SList 10000 insert,372,364000,8474939392,1644847104,
SList 10000 insert,373,364900,8474939392,1644847104,
SList 10000 insert,374,365800,8474939392,1644847104,
SList 10000 insert,375,366700,8474939392,1644847104,
SList 10000 insert,376,367700,8474939392,1644847104,
SList 10000 insert,377,368600,8474939392,1644847104,
SList 10000 insert,378,369500,8474939392,1644847104,
SList 10000 insert,379,370300,8474939392,1644847104,
SList 10000 insert,380,371200,8474939392,1644847104,
SList 10000 insert,381,372100,8474939392,1644847104,
SList 10000 insert,382,372900,8474939392,1644847104,
SList 10000 insert,383,373800,8474939392,1644847104,
SList 10000 insert,384,374700,8474939392,1644847104,
SList 10000 insert,385,375600,8474939392,1644847104,
SList 10000 insert,386,376400,8474939392,1644847104,
SList 10000 insert,387,377300,8474939392,1644847104,
SList 10000 insert,388,378200,8474939392,1644847104,
SList 10000 insert,389,379200,8474939392,1644847104,
SList 10000 insert,390,380100,8474939392,1644847104,
SList 10000 insert,391,380900,8474939392,1644847104,
SList 10000 insert,392,381800,8474939392,1644847104,
SList 10000 insert,393,382700,8474939392,1644847104,
SList 10000 insert,394,383500,8474939392,1644847104,
SList 10000 insert,395,384400,8474939392,1644847104,
SList 10000 insert,396,385300,8474939392,1644859392,
SList 10000 insert,397,386200,8474939392,1644875776,
SList 10000 insert,398,387000,8474939392,1644875776,
SList 10000 insert,399,387900,8474939392,1644875776,
SList 10000 insert,400,388800,8474939392,1644875776,
SList 10000 insert,401,389700,8474939392,1644875776,
SList 10000 insert,402,390700,8474939392,1644875776,
SList 10000 insert,403,391600,8474939392,1644875776,
SList 10000 insert,404,392400,8474939392,1644875776,
SList 10000 insert,405,393300,8474939392,1644875776,
SList 10000 insert,406,394200,8474939392,1644875776,
SList 10000 insert,407,395000,8474939392,1644875776,
SList 10000 insert,408,395900,8474939392,1644875776,
SList 10000 insert,409,396800,8474939392,1644875776,
SList 10000 insert,410,397700,8474939392,1644875776,
SList 10000 insert,411,398500,8474939392,1644875776,
SList 10000 insert,412,399400,8474939392,1644875776,
SList 10000 insert,413,400300,8474939392,1644875776,
SList 10000 insert,414,401300,8474939392,1644875776,
SList 10000 insert,415,402200,8474939392,1644875776,
SList 10000 insert,416,403000,8474939392,1644875776,
SList 10000 insert,417,403900,8474939392,1644875776,
SList 10000 insert,418,404800,8474939392,1644875776,
SList 10000 insert,419,405700,8474939392,1644875776,
SList 10000 insert,420,406600,8474939392,1644875776,
SList 10000 insert,421,407400,8474939392,1644875776,
SList 10000 insert,422,408300,8474939392,1644875776,
SList 10000 insert,423,409200,8474939392,1644875776,
SList 10000 insert,424,410100,8474939392,1644875776,
SList 10000 insert,425,411000,8474939392,1644875776,
SList 10000 insert,426,411800,8474939392,1644875776,
SList 10000 insert,427,412900,8474939392,1644875776,
SList 10000 insert,428,413700,8474939392,1644875776,
SList 10000 insert,429,414600,8474939392,1644875776,
SList 10000 insert,430,415500,8474939392,1644875776,
SList 10000 insert,431,416400,8474939392,1644875776,
SList 10000 insert,432,417200,8474939392,1644875776,
SList 10000 insert,433,418400,8474939392,1644875776,
SList 10000 insert,434,419300,8474939392,1644875776,
SList 10000 insert,435,420200,8474939392,1644875776,
SList 10000 insert,436,421100,8474939392,1644875776,
SList 10000 insert,437,422000,8474939392,1644875776,
SList 10000 insert,438,422900,8474939392,1644875776,
SList 10000 insert,439,423700,8474939392,1644875776,
